# A-share balance sheet for 000333.SZ (quarterly)

REPORT_DATE_NAME,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_PARENT_EQUITY,MONETARYFUNDS,INVENTORY,ACCOUNTS_RECE,GOODWILL
2025年报,608791766000.0,372367543000.0,223221305000.0,85247150000.0,64628834000.0,40450097000.0,34256859000.0
2025三季报,593313003000.0,359205303000.0,220559233000.0,89819241000.0,48046649000.0,46472253000.0,34366382000.0
2025中报,638033509000.0,408610428000.0,216110027000.0,148486809000.0,49674892000.0,52909026000.0,34724222000.0
2025一季报,634784709000.0,393158287000.0,229824270000.0,161278203000.0,52740554000.0,48667141000.0,31869132000.0
2024年报,604351853000.0,376684462000.0,216750057000.0,140410308000.0,63339188000.0,35798974000.0,29581014000.0
2024三季报,567150337000.0,346854643000.0,208887776000.0,160879259000.0,42773671000.0,36924388000.0,30655392000.0
2024中报,506631909000.0,330346541000.0,164797591000.0,101949934000.0,40329230000.0,43859227000.0,29986897000.0
2024一季报,497968468000.0,314101232000.0,172498707000.0,95952306000.0,41203729000.0,39977677000.0,30160121000.0
