# A-share income statement for 000333.SZ (quarterly)

REPORT_DATE_NAME,TOTAL_OPERATE_INCOME,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT,BASIC_EPS
2025年报,458502407000.0,52978773000.0,53085343000.0,44520196000.0,43945411000.0,41267233000.0,5.8
2025三季报,364716076000.0,45736705000.0,45858760000.0,38637827000.0,37883383000.0,37140080000.0,4.98
2025中报,252331494000.0,31249441000.0,31343289000.0,26647354000.0,26013690000.0,26235399000.0,3.41
2025一季报,128428421000.0,15119192000.0,15134929000.0,12745898000.0,12422233000.0,12749867000.0,1.64
2024年报,409084266000.0,46393752000.0,46689746000.0,38757214000.0,38537237000.0,35741418000.0,5.44
2024三季报,320349787000.0,38174024000.0,38398469000.0,32150982000.0,31699114000.0,30376736000.0,4.58
2024中报,218121839000.0,25313049000.0,25451557000.0,21141255000.0,20804176000.0,20180878000.0,3.02
2024一季报,106483190000.0,10653447000.0,10743271000.0,9036321000.0,9000007000.0,9236971000.0,1.31
