# A-share cash flow for 000333.SZ (quarterly)

REPORT_DATE_NAME,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,CCE_ADD,PAY_STAFF_CASH,PAY_ALL_TAX
2025年报,53345930000.0,25340273000.0,-64957779000.0,13389942000.0,43785067000.0,20316919000.0
2025三季报,57066085000.0,18851353000.0,-68843102000.0,7518428000.0,34525943000.0,16013909000.0
2025中报,37281015000.0,7550396000.0,-19113064000.0,26547541000.0,24545991000.0,10644732000.0
2025一季报,14320968000.0,-23216673000.0,7333433000.0,-1467452000.0,14723891000.0,4262314000.0
2024年报,60511572000.0,-87901802000.0,22697954000.0,-4768532000.0,43788585000.0,19521276000.0
2024三季报,60263681000.0,-90564488000.0,19961078000.0,-10579630000.0,33807476000.0,14563430000.0
2024中报,33488170000.0,-20635554000.0,-20977156000.0,-8386546000.0,23895264000.0,10276855000.0
2024一季报,13928908000.0,-5954871000.0,-5090826000.0,2769008000.0,14145520000.0,4372588000.0
