# A-share market and policy news

发布时间,标题,摘要,链接
2026-04-02 19:04:00,澳大利亚考虑启动天然气安全机制保障供应,【澳大利亚考虑启动天然气安全机制保障供应】澳大利亚政府2日说，鉴于中东地区的战事扰乱全球能源供应。监管机构警告今年第三季度可能出现供应短缺，澳大利亚将于5月中旬前决定是否启动澳大利亚国内天然气安全机制。,https://finance.eastmoney.com/a/202604023693594135.html
2026-04-02 19:03:25,2026清明档新片预售总票房破5000万,【2026清明档新片预售总票房破5000万】据猫眼专业版数据，截至4月2日18时59分，2026年清明档新片预售总票房破5000万，《我，许可》《我的妈耶》《超级马力欧银河大电影》暂列清明档新片预售票房榜前三位。,https://finance.eastmoney.com/a/202604023693593719.html
2026-04-02 19:03:04,国务院食安办 市场监管总局 海关总署约谈3家平台企业,【国务院食安办 市场监管总局 海关总署约谈3家平台企业】4月2日，国务院食安办、市场监管总局、海关总署对总台报道的跨境电商进口“优思益”保健品违规营销等问题涉及的抖音、淘天、小红书3家平台企业进行了约谈。,https://finance.eastmoney.com/a/202604023693593691.html
2026-04-02 19:02:33,伊朗伊斯兰革命卫队称袭击了海湾国家境内与美国有关联的钢铁和铝材设施,【伊朗伊斯兰革命卫队称袭击了海湾国家境内与美国有关联的钢铁和铝材设施】伊朗伊斯兰革命卫队称他们袭击了海湾国家境内与美国有关联的钢铁和铝材设施，伊朗革命卫队表示，这些袭击是一个警告，如果伊朗的工业再次遭到打击，德黑兰的下一次回应将“更加痛苦”。,https://finance.eastmoney.com/a/202604023693593055.html
2026-04-02 19:00:22,上海二手房市场“三线共振”：成交破3万套、库存减少、价格抬头,【上海二手房市场“三线共振”：成交破3万套、库存减少、价格抬头】久违的“3万+”行情回来了。2026年3月，上海二手房成交一举冲到3.12万套，不仅刷新近五年纪录，也把市场从“试探回暖”推向“情绪升温”。,https://finance.eastmoney.com/a/202604023693591916.html
2026-04-02 19:00:00,宇通重工：2025年净利润同比增长36.25% 拟10派4元,【宇通重工：2025年净利润同比增长36.25% 拟10派4元】宇通重工(600817)4月2日披露年报，2025年实现营业收入34.87亿元，同比下降8.2%；归母净利润3.09亿元，同比增长36.25%；基本每股收益0.59元。公司拟每10股派发现金红利4元(含税)。,https://finance.eastmoney.com/a/202604023693594752.html
2026-04-02 18:57:48,中原环保：2025年归母净利润10.75亿元 同比增长4.16%,【中原环保：2025年归母净利润10.75亿元 同比增长4.16%】中原环保4月2日公告，2025年实现营业收入55.4亿元，同比增长1.77%；归属于上市公司股东的净利润10.75亿元，上年同期10.32亿元，同比增长4.16%；基本每股收益1.0593元。,https://finance.eastmoney.com/a/202604023693592094.html
2026-04-02 18:56:32,布伦特原油期货涨幅扩大至8%,布伦特原油期货涨幅扩大至8%，报109.277美元/桶。WTI原油期货涨8.23%，报108.364美元/桶。,https://finance.eastmoney.com/a/202604023693591272.html
