# A-share company news for 002644.SZ

发布时间,文章来源,新闻标题,新闻内容,新闻链接
2026-04-01 16:53:00,证券时报网,肝炎概念涨3.68%，主力资金净流入这些股,谱尼测试 1.70 2.72 -107.61 -1.08 688575 亚辉龙 2.39 0.95 -130.47 -1.62 000638 *ST万方 -5.22 6.46 -135.93 -5.32 002693 *ST双成 1.38 2.13 -169.49 -2.40 002644,http://finance.eastmoney.com/a/202604013691968872.html
2026-03-30 17:57:00,证券时报,农业种植概念上涨1.62%，5股主力资金净流入超3000万元,15.58 002385 大北农 2.53 4.67 1086.34 1.63 002390 信邦制药 1.55 1.59 876.44 8.81 600300 维维股份 2.87 2.69 721.87 4.63 002582 好想你 0.53 3.68 670.12 4.72 002644,http://finance.eastmoney.com/a/202603303688856571.html
2026-03-30 15:31:00,证券时报网,今日114只个股突破年线,铁建重工 4.91 1.26 4.96 5.13 3.34 002876 三利谱 3.22 2.77 25.16 25.97 3.21 000998 隆平高科 3.52 4.74 9.97 10.28 3.13 000505 京粮控股 3.47 4.39 6.95 7.16 3.06 002644,http://finance.eastmoney.com/a/202603303688666820.html
2026-03-30 14:18:00,证券时报网,【盘中播报】94只个股跨越牛熊分界线,2.64 1.98 6.45 6.61 2.41 002808 *ST恒久 2.77 2.54 4.73 4.83 2.16 603989 艾华集团 2.16 1.18 16.69 17.04 2.07 603496 恒为科技 2.05 3.13 28.35 28.86 1.80 002644,http://finance.eastmoney.com/a/202603303688597435.html
2026-03-30 10:50:00,证券时报,【盘中播报】49只个股跨越牛熊分界线,4.84 7.86 21.20 21.68 2.26 688210 统联精密 2.67 1.47 39.85 40.73 2.22 600300 维维股份 3.15 1.67 3.54 3.60 1.71 002540 亚太科技 1.86 1.14 6.45 6.56 1.64 002644,http://finance.eastmoney.com/a/202603303688477040.html
2026-02-06 09:33:16,证券时报网,207家公司获机构调研（附名单）,44.53 -4.05 电子 301223 中荣股份 1 6 19.78 2.75 轻工制造 603569 长久物流 1 6 7.43 1.09 交通运输 300607 拓斯达 1 6 29.52 -4.50 机械设备 600295 鄂尔多斯 1 6 14.65 -8.55 钢铁 002644,http://finance.eastmoney.com/a/202602063643704065.html
2026-02-02 21:53:58,证券时报网,40股每笔成交量增长超50%,0.73 73903 1215.23 000656 *ST金科 0.00 28359 624.37 600084 中信尼雅 7.83 47525 456.11 002023 海特高新 -3.68 55782 449.47 600828 茂业商业 10.03 98176 305.28 002644,http://finance.eastmoney.com/a/202602023639007389.html
2026-02-02 15:23:53,证券时报网,今日39只个股突破半年线,4.35 6.78 32.02 32.84 2.55 300311 ST任子行 3.97 6.75 4.86 4.98 2.46 920062 科润智控 5.60 16.49 11.23 11.51 2.45 603880 南卫股份 5.41 6.61 6.48 6.63 2.38 002644,http://finance.eastmoney.com/a/202602023638616554.html
2026-02-02 14:16:41,证券时报网,84只股中线走稳 站上半年线,4.32 1.78 52.88 54.36 2.79 603158 腾龙股份 6.27 7.26 10.72 11.01 2.74 301309 万得凯 3.66 8.95 29.81 30.61 2.67 301182 凯旺科技 4.16 3.34 38.28 39.29 2.63 002644,http://finance.eastmoney.com/a/202602023638512983.html
